"Opened Datetime","Closed Datetime","Unique Case ID","Status","Main Category","Sub category","Product","CSAT Score"
"2023-10-29 08:00:00","2023-10-30 17:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Location Finder","Apple Net",5
"2022-07-29 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Policy Complaint","Banana Goal",
"2024-05-30 10:00:00","2024-05-31 11:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Quality Concern","Orange Racket",1
"2023-02-24 16:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Account Closure","Grape Glove",
"2022-09-22 09:00:00","2022-09-23 12:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Staff Issue","Mango Skate",3
"2023-05-14 15:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Delivery Issue","Pear Bike",
"2024-03-24 11:00:00","2024-03-25 14:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Wrong Item Received","Peach Board",4
"2022-11-02 17:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Password Reset","Plum Ski",
"2023-08-16 07:00:00","2023-08-17 10:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Stock Check","Kiwi Ball",5
"2024-01-24 12:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Service Complaint","Berry Bat",
"2023-10-15 18:00:00","2023-10-17 16:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Defective Item","Apple Net",2
"2022-12-20 08:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Billing Inquiry","Banana Goal",
"2024-04-30 14:00:00","2024-05-01 11:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Opening Hours","Orange Racket",4
"2023-02-08 10:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Product Complaint","Grape Glove",
"2022-08-17 16:00:00","2022-08-18 13:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Missing Part","Mango Skate",3
"2023-07-07 11:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Update Details","Pear Bike",
"2024-05-14 17:00:00","2024-05-15 17:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Location Finder","Peach Board",5
"2023-03-07 09:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Policy Complaint","Plum Ski",
"2022-10-24 15:00:00","2022-10-25 11:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Quality Concern","Kiwi Ball",1
"2024-02-16 11:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Account Closure","Berry Bat",
"2023-09-20 18:00:00","2023-09-21 14:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Staff Issue","Apple Net",3
"2022-07-24 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Delivery Issue","Banana Goal",
"2023-11-08 13:00:00","2023-11-09 16:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Wrong Item Received","Orange Racket",4
"2024-06-19 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Password Reset","Grape Glove",
"2023-04-26 08:00:00","2023-04-27 12:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Stock Check","Mango Skate",5
"2022-11-07 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Service Complaint","Pear Bike",
"2024-03-02 10:00:00","2024-03-04 13:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Defective Item","Peach Board",2
